Dept,Course,Last Name,Term,Year,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,Number Invited,Number of Survey Responses,Course Code
ENGDR,Caribbean Literature ENG356H5SLEC0101,Vashisht,Summer,2024,5,48,46,46,44,44,34,48,,48,14,5,ENG356H5
UMPOL,Managing Military Conflict POL312H5SLEC0101,Bumgardner,Summer,2024,5,48,49,49,5,46,34,48,,49,31,8,POL312H5
UMBIO,Developmental Neurobiology BIO403H5SLEC0101,Erclik,Winter,2024,5,5,5,47,47,49,33,49,,47,27,7,BIO403H5
FGI,Introductory German GER100Y5YLEC0101,Schafer,Winter,2024,5,5,48,5,5,5,3,48,,44,15,5,GER100Y5
FGI,Introductory Punjabi PUN212Y5YLEC0101,Kaur,Winter,2024,5,5,48,46,48,46,4,44,,48,12,5,PUN212Y5
UMSOC,Invest through Study Abroad SOC485H5SLEC0101,Goodman,Winter,2024,5,5,49,44,49,46,26,46,,47,12,7,SOC485H5
ENGDR,Literary Theory / Methods ENG416H5SLEC0101,Slater,Winter,2024,5,48,48,46,48,48,3,48,,46,12,5,ENG416H5
UMMGT,Quantitative Finance MGT443H5SLEC0102,Zoican,Winter,2024,5,5,5,5,5,49,31,45,,46,20,8,MGT443H5
ENGDR,Special Topic in Literary Thry ENG372H5SLEC0101,Slater,Winter,2024,5,48,5,48,48,48,3,48,,5,22,6,ENG372H5
ANTRL,Forensic Anthrop Field School ANT306H5FPRA0101,Watamaniuk,Fall,2023,5,5,45,46,47,47,3,48,,45,24,10,ANT306H5
CHMPS,Geology of North America ERS425H5FLEC0101,Halfar,Fall,2023,5,5,48,46,46,42,3,5,,5,12,5,ERS425H5
HISCL,Holocaust  HIS Mem Eur NA HIS438H5FLEC0101,Wittmann,Fall,2023,5,47,49,47,47,49,29,47,,47,14,7,HIS438H5
UMVIS,Nrth Amer Consmr 1890 Pres VCC236H5FLEC0101,Logan,Fall,2023,5,5,48,47,5,47,28,5,,48,19,6,VCC236H5
UMSOC,Sociology AntiMuslim Racism SOC408H5FLEC0101,Shah,Fall,2023,5,5,5,5,5,5,3,5,,5,16,5,SOC408H5
UMPSY,Sp Topic Abnormal Psy PSY440H5FLEC0101,Urbszat,Fall,2023,5,46,49,43,43,44,29,46,,47,15,7,PSY440H5
UMSOC,Special Topics in Sociology SOC345H5FLEC0101,Sheely,Fall,2023,5,49,5,49,5,49,3,49,,46,18,7,SOC345H5
ENGDR,Toni Morrison Texts  Contxts ENG351H5FLEC0101,Thomas,Fall,2023,5,49,48,48,48,47,32,46,,47,41,17,ENG351H5
UMBIO,Virology BIO475H5FLEC0101,Short,Fall,2023,5,5,5,46,46,48,33,48,,46,16,8,BIO475H5
ENGDR,Acting DRE201H5FPRA0101,Smith,Summer,2023,5,48,5,5,48,5,24,5,,46,14,5,DRE201H5
UMSOC,Adv Topics Crim Law Society SOC446H5FLEC0101,Flores,Summer,2023,5,5,5,5,5,5,28,5,,48,12,5,SOC446H5
