Dept,Course,Term,Year,Last Name,INS1,INS2,INS3,INS4,INS5,INS6,UTSC1,UTSC2,UTSC3,Number Invited,Number of Responses,Course Code
ACMSC,Advanced Workshop Performance THRC50H3FLEC01,Fall,2024,Freeman,43,43,48,44,47,42,4,35,45,18,6,
ACMSC,Alternative Media MDSC61H3FLEC01,Fall,2024,Lobo,41,43,46,41,42,41,4,3,41,85,22,
ACMSC,Art Writing VPHC54H3FLEC01,Fall,2024,Webster,44,46,48,46,44,46,46,32,4,15,5,
ACMSC,Becoming a Producer VPAB18H3FLEC01,Fall,2024,Sundar Singh,35,36,37,35,37,34,34,32,35,216,44,
ACMSC,Black Media Studies MDSC23H3FLEC01,Fall,2024,Cudjoe,31,34,32,32,33,3,33,38,28,58,16,
ACMSC,But Why Is It Art VPSA63H3FLEC01,Fall,2024,Brown,38,42,42,39,42,38,38,25,41,101,31,
ACMSC,Chinese Media and Politics MDSC32H3FLEC01,Fall,2024,Bai,42,43,43,45,46,4,43,27,4,81,15,
ACMSC,Concert Band IIIb MUZA60A61B60B61C60C61H3FLEC01,Fall,2024,Tucker,46,45,49,42,41,42,44,32,45,49,17,
ACMSC,Concert Choir IIIb MUZA62A63B62B63C62C63H3FLEC01,Fall,2024,Murray,44,45,48,47,46,47,42,27,46,106,27,
ACMSC,Contracts and Copyright VPAC16H3FLEC01,Fall,2024,Sicondolfo,41,43,42,42,42,41,39,34,38,141,32,
ACMSC,Covering Immigration and Trans JOUB01H3FLEC01,Fall,2024,Amani,29,31,32,33,36,28,3,3,3,40,20,
ACMSC,Critical Issues in Music  Soc MUZC23H3FLEC01,Fall,2024,Stanbridge,47,5,5,42,48,46,46,36,44,30,9,
ACMSC,Developing Musicianship MUZB80H3FLEC01,Fall,2024,Risk,46,46,5,45,46,45,45,33,48,24,11,
ACMSC,Diasporic Media JOUC60MDSC34H3FLEC01,Fall,2024,Cudjoe,37,38,39,39,36,34,35,35,36,56,10,
ACMSC,Digital Animation I VPSB89H3FLEC01,Fall,2024,Pugen,34,34,42,4,4,34,36,34,36,20,5,
ACMSC,Drawing I VPSB70H3FLEC01,Fall,2024,Irving,36,34,36,4,38,32,36,32,34,21,5,
ACMSC,Equity  Diversity in the Arts ACMB10H3FLEC01,Fall,2024,deChamplainLeverenz,34,33,38,36,37,3,34,31,3,29,9,
ACMSC,Equity  Incl in Arts  Media VPAB10H3FLEC01,Fall,2024,Chan,24,28,25,28,29,23,24,34,23,133,31,
ACMSC,Essential Skills for Artists VPSC85H3FLEC01,Fall,2024,Cruz,44,46,48,46,46,46,45,29,48,53,18,
ACMSC,Exploring Community Music MUZC01H3FLEC01,Fall,2024,Risk,42,44,46,42,43,41,42,32,41,25,13,
ACMSC,Field Senior Research Seminar VPAD11H3FLEC01,Fall,2024,Sicondolfo,42,43,47,47,46,46,49,34,48,44,9,
ACMSC,Financial Mgt for Arts Manager VPAB13H3FLEC01,Fall,2024,Flynn,41,42,45,42,41,41,4,3,41,140,34,
ACMSC,Foundation Studies in Studio VPSA62H3FLEC01,Fall,2024,Koroshegyi,43,4,46,44,41,43,34,3,41,19,7,
ACMSC,Foundation Studies in Studio VPSA62H3FLEC02,Fall,2024,Brown,4,4,41,4,41,4,4,34,41,21,9,
